春节对联
四言联
风和日丽  三星在户  百事皆乐  民生有幸
人勤地丰  五业其昌  万象更新  国运无疆
云霞呈秀  门迎百福  天开化宇  金莺报喜
梅柳生辉  户纳千祥  人在春台  玉燕迎春
五言联
阳光凝大地 年丰人益寿 迎春接福日 江山千古秀
春色入人家 春早福盈门 足食丰衣年 祖国万年春
人随春意泰 勤劳能致富 同修富裕路 山河添秀色
事共壮怀成 和睦可生财 共建文明村 大地沐春晖
好景年年好 政通千家福 太平真福贵 春晖盈大地
新春岁岁新 人和万户春 春色大文章 正气满乾坤
淑气芝兰茂 三阳临吉地 国登强盛境 春明有富贵
春风桃李香 五福萃华门 人过富裕年 风静全家安
花随春意发 庆新春肇事 人民歌永泰 一年春作首
福从好运来 祝大业终成 祖国庆长春 百事德为先
半年飞瑞雪 岁月随人好 万里春光美 祖国春如海
好景舞春风 山河照眼明 九州瑞气浓 人民力胜天
梅花开五福 年年歌大有 新风开盛世 红点桃花嫩
竹叶报三多 岁岁颂新康 春色壮神州 青描柳色新
天开新岁月 四海春光好 人民歌大治 党指通天路
人改旧乾坤 九州气象新 祖国庆长安 民怀报国心
神州臻百福 风和催四化 玉堂浮瑞气 共祝升平日
盛世集千祥 政通喜千家 金室耀祥光 同沾大有年
事业随春长 普天开景运 跨峥嵘岁月 龙飞欣晓日
风光逐日新 大地沐春晖 奔锦绣前程 马到庆丰功
日月光天德 有年皆丽日 云霞出海曙 春风舒冻柳
云霞拥地灵 无处不春风 梅柳渡江春 瑞雪兆丰年
和光生柳叶 风助飞雪舞 青山多画意 吟竹诗含翠
春色泛桃花 诗伴落梅吟 春雨润诗情 画梅笔带香
华文春日丽 神州春浩荡 普天开远景 云霞成异彩
瑞色紫云高 寰海日光华 大地焕新风 梅柳动春风
六言联
瑞雪娇梅袅柳  户户金花报喜  祖国河山似锦
彩云移下一天星 霭霭春光满夜城 击鼓踏歌皆春声
天空明月一轮照 碧树银台万种色 三千世界笙歌里
人醉春风万里明 野花啼鸟一般春 十二都城锦绣中
赏灯极乐繁华地 美人何处教歌舞 玉宇尘清一轮皓月
秉灯同游不夜天 上将今宵夺昆仑 银花焰吐万盏春灯
明月一轮天开清淑 灯火万家良宵美景 远景近景良宵美景
春灯万盏人乐太平 笙歌一曲盛世元音 礼花鲜花火树银花
三八国际妇女节对联
良辰三八节 三八宏图展 凤毛春济美 昔日女界多贡献
妇女半边天 九州春意浓 麟趾贵呈祥 当今巾帼再登攀
壮志结成四化果 争当三八红旗手 中华巾帼多奇志
红心顶起半边天 敢胜九州铁血男 当代女流胜伟男
树新风三八红旗飘万代 为妇女扬眉吐气
立壮志四化伟业拼一生 与男儿并驾争雄
祖国腾飞巾帼英雄创大业
神州巨变中华儿女展宏图
植树节对联
植树造林滋沃土 春夏秋冬四季绿 造林植树山川秀
防风固水护良田 东西南北九州香 种草栽花庭院香
处处造林林似海 喜观树海葱茏日 敢教荒山成绿海
家家植树树成荫 笑见山花烂漫时 誓将沙漠变青川
绿荫祖国处处山青水秀  树木对人同系千秋大业
改造自然年年林茂粮丰  爱家爱国常昭一片丹心
屋前宅后栽树延年益寿  年年绿化造林无山不翠
隙地荒山造林利国富民  岁岁蒙荫植树有地皆春
百花节对联
二月芳辰多胜景    百花齐放    花香蝶飞舞
百花诞日是今朝    四海同春    鸟语日初长
爱竹不除当路笋 花馨溢佳节 让丛丛绿树绿遍文明城市
惜花留得拂面枝 香风漫早春 叫簇簇香花香满美好乐园
清明节对联
继往开来追壮志  相逢马上纷桃雨  先烈功垂千古
先前裕后慰英灵  喜见树前问杏花  英明留传万年
槐火光明春替换  燕子来时新春  禁火今年逢春早
杏花消息雨传知  梨花落后清明  飞花锁日为人忙
寒食雨传百五日 睹物思亲常入梦 三月光阴槐火换
花信飞来廿四春 训言在耳犹记心 雨意前村市杏花
姓在名在人不在  秀野踏青晨行早
思亲想亲不见亲  芳草拾翠暮忘归
五一国际劳动节对联
克勤称美德   掌握科学规律   鲜花献模范
劳动最光荣   发扬改革精神   美酒敬英雄
敢想敢为齐奋勇 雄心勇奋三连冠 四化宏图酬壮志
克勤克俭共腾飞 壮志同描四化图 两番大业树雄心
策马登程奔四化 挥毫共写英雄谱 十亿同心鹏展翅
闻鸡起舞有群英 展卷特书大业章 九州昂首马腾蹄
进取途中多志士 倒海移山豪情永在 四化宏图呈曙色
拼搏场上尽英雄 改天换地其乐无穷 千秋大举布春光
五四青年节对联
创业凯歌起 青春红似火 当青年闯将 一代新风树
攻关胆气生 大志壮如山 做时代英雄 百年大计兴
五四精神惊百代 开华夏千秋盛举 四有新人兴大举
万千美景待一笔 展神州万古雄风 八方俊秀绘宏图
莫让韶光付逝水 时代青年耀今烁古 一代英豪九州生色
宜将烈火燃青春 新兴事业继往开来 八方儿女四海为家
三春雨露共荣万树
一代风流同振九州
端午节对联
天中令节  日逢重午 保艾思君子  辰振逢地腊
地腊良辰  节序天中 依蒲祝圣人  建午届中天
门幸无题午  艾草飞香午门纳福  榴裙萱黛增颜色
人渐不识丁  龙舟竞渡万水欢歌  艾酒蒲浆记岁华
结艾钦头轻战虎 海国中天魂招屈子 绿艾悬门添藻彩
夺标船首惯乘龙 江城五月笑看龙舟 青蒲注酒溢芬芒
艾叶电旗招百福 画鼓朱旗锦标齐村 艾人驱瘴千门福
菖蒲似剑斩千妖 香罗细葛纱服新成 碧水竞舟十里欢
石榴映红日千门喜庆   节启朱明榴花献瑞
鼓乐催龙舟万水欢歌   盘陈角黍蒲酒怀贤
代代龙舟竞渡追怀屈子   艾叶吐幽芳香溢四海
年年角黍投江祭奠诗魂   龙舟掀巨浪气吞八荒
龙舟竞渡凭吊屈子怀石恨  美酒雄黄正气独能消五毒
赤县雄飞喜谱今朝爱国篇  锦标夺紫遗风犹自说三闾
六一国际儿童节对联
续传接力棒 早立凌云志 千秋折桂手 祖国新花朵
浇灌向阳花 誓当接力人 一代接班人 未来小主人
三好学生明志远   学习勤奋争三好  年少宏图远
一旗火炬映心红   德智优良树一流  鸟雏志向高
抚育校园新花朵  创建千秋大业  绽蕾花树株株秀
培植祖国栋梁材  栽培一代新人  破土春笋节节高
幼苗逢喜雨百花吐艳  六一儿童欢度节
新树度春风万木争荣  万千花朵正宜人
七一建党纪念日对联
共产党恩泽四海  政策英明开盛世  党恩春荡荡
毛主席名重千秋  党风纯正惠民心  家庆日融融
爱党心诚葵向日 国运昌隆民做主 花木向阳春不老
孚民德重凤朝阳 人心欢愉党擎旗 人民跟党志难移
马列光华昭大地 岁月逢春花遍地 政策光辉昭日月
人民伟业启新猷 人民有党志登天 人民智慧焕河山
七夕节对联
桥填五夜来喜鹊   五夜照天汉
河渡双星会女牛   双星会女牛
莫谓人间多别恨  帝女合欢水仙含笑  鹊桥星度夜
便疑天上有离愁  牵牛迎辇翠鹊凌霄  燕馆月沉时
牛女二星河左右  银汉碧波凉生七夕  针好穿三孔
参商两曜斗西东  金钗钿盒夜拜双星  书宜曝五车
八一建军节对联
宏谋抒啸虎 山海金汤固 炮火慑敌胆 祖国铁龙阵
士气奋扬鹰 官兵铁铠寒 钢枪振国威 人民子弟兵
八一军旗红海宇  天地有情留正气   秉丹心报国
万千劲旅壮河山  江山无患慰忠魂   举赤手擎天
光荣传统光荣史  军号入云添斗志   钢铁长城固
钢铁长城钢铁兵  战旗映日动豪情   英雄军队坚
战士军中传捷报  白云丹桂边关色   热血洒疆土
英雄故里庆和平  明月清风将士心   铁臂筑长城
教师节对联
尊师重教  催笋成竹  碧血催桃李  为国而教
育才兴邦  润花著果  丹心树栋梁  作人之师
人才要靠教育培养  碧血育桃李  栋梁砥大厦
智力须从幼时开发  辛勤扶栋梁  桃李芳九州
愿作园丁勤浇灌 重教导师人文蔚起 人梯巧搭登攀路
甘为烛炬尽燃烧 育才献智国运昌隆 心血勤浇栋梁材
毕生心血哺新秀 讲台展开千秋画卷 千篇新诗园丁赞
一代桃李谱华章 宝岛绽放万树蓓蕾 万首衷曲育人歌
举国尊师兴伟业 为人师表诲而不倦 丹心一片育新苗
栉风沐雨做园丁 替国树才教必有方 赞歌千曲颂园丁
愿作人梯育新秀 展宏图基础是教育 且喜满园桃李艳
甘为孺子当黄牛 起新步关键在人才 莫悲两鬓霜雪寒
旭日灿星照学府 育才兴邦百年大计 国家辛勤一堂秀
春风化雨育新苗 尊师重教一代新风 桃李成荫四海春
热汗染成千顷绿 春蚕巧织满园锦绣 培育名花香天下
丹心育出万代红 红烛点燃一代心灵 造就栋梁建中华
终身育才人人敬  立足本职献身教育
红烛火种代代传  为人师表无尚光荣
中秋节对联
尘中人自老 春秋多佳日 天上一轮满  明月映天
天际月常明 山水有清香 人间万里明  甘露被宇
露从今夜白 二仪含皎洁 明月本无价 一天秋似水
月是故乡明 四海尽澄清 高山皆有情 满地月如霜
中天一轮满 冰壶含雪魄 薄惟鉴明月 皓月无幽意
秋野万里香 银汉漾金波 高情属云天 清风有激情
半夜二更半 亭空千霜月  霓裳舞起终宵朗
中秋八月中 水续万古流  玉女歌扬彻夜辉
叶脱疏桐秋正半 一逢喜事精神爽 笙歌曲中千家月
花开丛桂树齐香 月到中秋光辉增 红藕香里万颗珠
轮影渐移花树下 三五良宵开玉宇 日射晚霞金世界
镜光如挂玉楼头 大千世界涌冰轮 月临天宇玉乾坤
鱼戏平湖穿远岫 爆竹声中千家月 月静池塘桐叶影
雁鸣秋月写长天 红藕香里万颗珠 风摇庭幕桂花香
喜得天开清旷域 一曲霓裳传玉笛
宛然人在广寒官 四围云锦拥金徽
重阳节对联
黄菊绮风村酒熟  夏至本逢三伏热   鼓琴仙度曲
紫门临水稻花香  重阳戊遇一冬晴   种杏客传书
步步登高开视野  三径归时秋菊在   临风鸟帽落
年年重九胜春光  满城近日雨风多   送酒白衣香
何处题糕酬锦句  菊花早放铺金蕊   东篱开寿菊
有人送酒对黄花  桑叶新开泻玉缸   南陌献嘉禾
孟参军龙山落帽 败兴无端满城风雨 靖节排冠归隐去
陶居士三径衔杯 登高何处插鬓茱萸 孟生落帽快登临
国庆节对联
山欢水笑  国光勃发  普天同庆  江山永固
物阜民康  民气旺苏  日月增辉  日月长恒
国趋昌盛人趋富  举国英豪开新局   山河千古秀
花爱阳春果爱秋  中天丽日庆长春   平野万象新
人逢国庆精神爽  鹰疾如箭凌云志  前程千帆竞发
月到中秋分外明  花红似火报国心  盛世万象更新
婚嫁对联
贺新婚通用联
东风入户 革命伴侣 雁鸣旭日 夫妻恩爱
喜气盈门 幸福家庭 凤哕朝阳 家庭幸福
白头偕老 珠联璧合 天作之合 云开五色
同心永结 凤翥鸾翔 文定厥祥 户拱三星
礼行平等 鸳鸯比翼 凤吉叶占 互助互爱
结婚自由 夫妻同心 熊祥入梦 相敬相亲
百年合好 庭呈瑞彩 百年好合 月明金屋
五世其昌 门挹祥光 五世其昌 香喷玉屏
志同道合 禧凝燕贺 花开并蒂 双燕齐飞
花好月圆 庆肇鸿图 偶结同心 阖家欢乐
良辰美景 行文明礼 萧迎淑女 凤凰鸣矣
赏心悦事 结自由婚 酒贺新郎 琴瑟友之
夫妻恩爱 鸳鸯对舞 雁鸣旭旦 三星并耀
琴瑟和弦 鸾凤和鸣 凤哕朝阳 五世其昌
夫妻恩爱 花开并蒂 芝兰千茂 印泥发彩
鸾凤和鸣 缘结同心 鸾凤百鸣 兰蕊浮香
志同道合 天长地久 玉堂双璧合 欢腾彩凤
意厚情长 花好月圆 宝树万枝荣 瑞应祥麟
海誓山盟 夫妻恩爱 双莺鸣高树 诗题红叶
同心永结 家庭祥和 对燕舞繁花 彩耀青鸾
天高地阔 互帮互爱 礼堂新献颂 月圆花好
比翼齐飞 相敬相亲 妆阁合催诗 凤舞龙飞
射屏得偶 门迎淑女 百年歌好合 书称厘降
种玉有缘 户接佳宾 五世卜其昌 诗咏好逑
荷开并蒂 白头偕老 当门花并蒂 水偕伉俪
芍结双花 同道永春 迎户树交柯 喜缔良缘
鸳鸯比翼 蓝田种玉 旭日辉仁里 花好月圆
龙凤呈祥 红叶题诗 祥云护德门 姻缘美满
礼求平等 乾坤交泰 创业成知己 新人入户
婚尚自由 琴瑟和谐 革命结同心 喜气盈门
笙萧奏凤凰 好逑偕伉俪 百年歌好合 并蒂花最美
鼓乐迎佳宾 嘉礼协文明 两美结良缘 同心情更真
绿竹恩爱意 祥云腾吉地 志同配佳偶 鱼水千年合
红梅贺新人 瑞气聚华轩 道合结良缘 芝兰百世荣
琴瑟春常润 旭日艺兰秀 吹萧堪引凤 奇缘谐凤配
人天月共圆 春风琴瑟和 攀桂喜乘龙 雄梦叶熊占
缔美好姻缘 芝兰茂千载 鸣琴乐佳偶 建文明社会
创幸福生活 琴瑟乐百年 鼓瑟缔良缘 结美满婚姻
喜望红梅开 琴瑟春常润 四季花常好 春融花并蒂
乐迎新人来 花好月共圆 百年月永圆 日暖树交柯
摄成双璧影 彩笔题鹦鹉 凤凰为世瑞 结成平等果
缔结百年欢 焦桐引凤凰 琴瑟谱新声 开出自由花
锦瑟调鸿案 鸳鸯千载合 文明协嘉礼 结革命伴侣
香词谱凤台 鸾凤百年和 家室敦好逑 建幸福家庭
新春贺双美 卿云绕绣辇 恋爱心已合 烛照香车人
齐飞庆百年 瑞气霭详云 结婚情更浓 花迎宝扇开
欢歌随凤舞 同心奔四化 赤绳曾系足 文明办喜事
笑语伴龙腾 携手上征途 红叶昔题诗 礼貌待嘉宾
良辰添吉庆 道合感情好 良夜良辰良缘 金凤过清夜
嘉礼占文明 志同幸福多 佳男佳女佳偶 明月闹洞房
红梅思爱意 雀屏欣中目 志同道合创业 三星方在户
绿竹贺新人 鸿案举齐眉 情长谊深成家 百辆正迎门
喜气门庭满 玉堂歌燕喜 菊垂金作客 但愿情长久
春光绣帐明 金屋啭莺娇 琴瑟谱新声 何须语蜜甜
志于云上得 香掩芙蓉帐 并蒂莲开四季 俭朴成婚礼
人自月中来 烛辉锦绣帏 比翼鸟喜双飞 勤劳钟爱情
鸟入同行侣 锦堂双璧合 向阳红花争艳 齐种爱情树
花开连理技 玉树万枝荣 比翼俊鸟齐飞 同当幸福人
祥光拥大道 春风琴瑟韵 笑脸笑迎宾客 并蒂花齐美
喜气满庭门 旭日芝兰香 喜歌喜接新人 同心情更深
喜见红梅放 祥云辉绣辇 美日美月美意 云恋妆台晓
乐迎淑女来 瑞气驻华堂 新郎新娘新婚 花迎宝扇开
金风吹静夜 梅帐同甘梦 银河双星庆会 琴瑟千年好
明月照新房 兰房送异香 金屋大礼观成 江山万代红
共结美满姻缘 同德同心同志 喜迎亲朋贵客 凤凰鸣瑞世
同建幸福生活 知寒知暖知音 欣接伉俪佳人 梅点玉为容
但求志同道合 欣接亲朋贵客 道合志同建国 情长谊深成家
何必户对门当 喜迎伉俪佳人 情长意重齐家 志同道合建国
喜听琴瑟合奏 何必门当户对 栏外红梅竞放 美鸳鸯看比翼
欣看凤凰齐飞 但求道合志同 檐前紫燕双飞 好夫妇结同心
九畹兰香花并蒂  五色云临门似彩 喜共花容月色
千树梧碧凤双栖  四化志铭心如磐 何分秋夜春宵
小梅香里黄莺啭  互敬互爱春永驻 银汉双星庆会
玉树阴中紫凤来  同心同德乐无穷 金凤大礼欢成
山青水碧风光美 云汉桥成牛女渡 一对鸳鸯成好梦
酒绿灯红喜气多 春台萧引凤凰飞 五更鸾凤换新声
万里云天看比翼 云抱玉林芝草茁 一对红心向四化
百年事业结同心 香飘金屋篆烟清 两双巧手绘宏图
夫妻同心建四化 云路高翔比翼鸟 二姓联盟成大礼
鸳鸯比翼奔长征 龙池深种并蒂莲 百年偕老乐长春
友情培植常青树 长天欢翔比翼鸟 十里好花迎淑女
恩爱催开幸福花 大地喜结连理枝 一庭芳草长宜男
百年恩爱双心结 午夜鸡鸣欣起舞 佳偶百年欣遇
千里姻缘一线牵 百年举案喜齐眉 知音千里相逢
玉树风前夸并倚 向阳红莲并蒂开 今日结成幸福侣
绣帏月里看双飞 朝阳彩凤比翼飞 毕生描绘锦绣图
兰浥瑶阶花并蒂 今日结成并蒂莲 百岁夫妻常合好
光耀华屋户三星 明朝共栽幸福花 千秋伴侣永和谐
对对莲开映碧水 合欢花花花欢合 杯交玉液飞鹦鹉
双双蝶舞乘东风 双飞燕燕燕双飞 乐奏瑶笙引凤凰
吉人吉时传古语 文挥锦绣珠垂璧 两朵红花争艳丽
新人新岁结新婚 粉傅兰胸云压梅 一对鸳鸯比翼飞
百子帐开留半臂 并肩同走幸福路 双飞黄鹂鸣翠柳
五丝缕细结同心 携手共绘锦绣春 并蒂红莲映碧波
百年佳偶今朝合 汗水共浇理想树 正是驾歌燕舞日
万载良缘此日成 勤奋共尝爱情果 恰逢花好月圆时
两情鱼水春作伴 金屋春浓花馥郁 欢庆此日成佳偶
百年恩爱花常红 琼楼夜永月团圆 且喜今朝结良缘
连理枝结同心果 和睦门庭风光好 红叶题诗欣赠嫁
比翼鸟奔四化程 恩爱夫妻幸福长 青梅煮酒庆于归
迎东风双燕飞舞 金鸡昂首祝婚礼 红花并蒂相映美
向旭日并蒂花开 喜鹊登梅报佳音 矫燕双飞试比高
良缘喜结鸳鸯谱 宜国宜家新妇女 志向远大双飞燕
春色永驻劳动家 能文能武好男儿 花香艳丽并蒂莲
相亲相爱新伴侣 赤诚招来飞鸿落 海阔天空双比翼
互帮互学好夫妻 深情激得玉石开 月圆花好两知心
青丝共少最亲热 桃符新换迎春帖 花好月圆欣喜日
白头偕老更恩爱 椒酒还斟合卺杯 桃红柳绿幸福时
画眉笔带凌云气 柳暗花明春正半 花深处鸳鸯并立
种玉人怀咏雪才 珠联璧合影成双 稀枝间凤凰共栖
画眉喜有临川笔 花月新妆宜学柳 革命佳偶同心结
举案欲看德耀妆 芸窗学友早栽兰 并蒂红花向党开
家庭和睦歌声溢 联翩丹凤舒新翼 举案齐眉示互敬
琴瑟相偕乐事多 并蒂红花攀高枝 既婚仍友自相亲
银镜台前人似玉 喜酒喜糖办喜事 载雪梅花飘绣阁
金鸾堂中语如花 新春新岁迎新人 临风兰韵入香帏
情歌唤醒水中月 喜鹊喜期报喜讯 莫道无才便是德
喜酒润开庭前花 新春新燕闹新房 须知治国在齐家
鸾凤双栖桃花岸 爱情红花开四季 爱长长得长长爱
莺燕对舞艳阳天 姻缘美果甜百年 情深深知深深情
鸾凤和鸣昌百世 新岁新婚新起点 爱情贤贞花正好
鸳鸯合好庆三春 喜人喜事喜开端 意气相投月常圆
鸾凤和鸣昌百世 爱情因事业增美 一对佳人兴大业
麒麟瑞叶庆千龄 青春靠知识闪光 万千志士振中华
堂上画屏开孔雀 携手栽培长青树 爱情凭忠诚美好
闺中绣幕隐芙蓉 精心浇灌爱情花 力量靠理想发光
玉宇欣看金鹤舞 大雁比翼飞万里 碧岸雨收莺语柳
画堂喜听彩鸾鸣 夫妻同心乐百年 蓝田日暖玉生烟
叶笙簧百年偕老 千载情谊春永驻 喜鹊争鸣报喜讯
鼓琴瑟五世其昌 百年恩爱花常红 新花竞放迎新人
欢情永系同心带 孔雀开屏月初圆 红杏枝头春意闹
春意先临并蒂梅 芙蓉出水花正好 绿杨桥上玉人来
魁星常耀书香第 丹桂香飘云路近 蝶趁春光欣结伴
祥云时护积善家 玉萧声绕镜台高 人逢盛世喜成亲
万载良缘此日成 长杨日暖祥光集 大好年华歌好合
百年佳偶今朝合 细柳风高喜气融 丰饶世景结良缘
同心结闪红叶色 红花并蒂相映美 枝头梅绽春来早
连理花飘金桂香 紫燕双飞互比高 堂前榴开福满门
杏坛春暖花并蒂 百年佳偶同心结 相敬如宾四季乐
兰闺日晴燕双飞 万里鹏程比翼飞 钟情似海百年长
柳树花明春正好 佳儿佳女成佳偶 互敬互爱好伴侣
珠联璧合影成双 春日春人舞春风 同心同德美德缘
志趣相投花亦笑 意似鸳鸯飞比翼 爱貌爱才尤爱志
感情融洽月常圆 情如鸾凤宿同林 知人知面更知心
喜看两小成佳偶 莺声日暖鸣金谷 银镜台前人似玉
乐生一个树新风 麟趾春深步玉堂 茜纱窗下语如诗
婚礼只须歌燕尔 良缘永结心花放 琴瑟同奏幸福曲
计生不复咏螽斯 喜气方升岁月欢 夫妻共描锦宏图
谙人谙世能经国 水底月为天上月 勤劳手足忧患少
亦淑亦贤最可人 眼前人是意中人 恩爱夫妻欢乐多
如意香生红玉宇 引凤才高应跨凤 燕舞莺歌春得意
明珠光入紫微垣 屠龙技绝自乘龙 志同道合遂初心
岂只室家盟自首 绣阁凰和箫引凤 红妆带绾同心结
更为时代奋青春 蓝田日暖玉生烟 碧池莲开连理技
窗前共揽三春月 昔日同栽连理树 爱有缘由情有种
灯下同吟一卷诗 今朝共举合欢杯 学无止境业无穷
同跨骏马驰千里 天上笑看星伴月 十里好花迎淑女
共植梅花乐百年 人间喜见凤求凰 一庭芳草贺新郎
今日画眉春在手 金屋笙歌偕卜凤 琴瑟永偕四化曲
他年攀桂月当头 洞房花烛喜乘龙 芝兰同茂百年春
双星牛女窥银河 琼楼月皎白如玉 碧沼红莲开并蒂
并蒂芙蓉映彩霞 绣阁花香酒似诗 芸窗学友结同心
丹山凤凰双飞翼 凤落梧桐梧落凤 门对青山含远翠
东阁梅开并蒂花 珠联璧合璧联珠 窗含嫩柳画浓眉
偕老佳偶同心结 共举红旗兴骏业 瑶琴喜奏凰求凤
并蒂花开向阳红 相期白首缔鸳盟 玉笛横吹蝶恋花
巧借花容添月色 欣逢佳节迎淑女 百年佳侣今朝合
欣逢秋夜作春宵 聊备村醪谢亲朋 两姓良缘此日成
种就福田如意玉 皓月描成双剪影 月下彩娥欣咏凤
养成心地吉祥云 寒霜映出并头莲 云间仙客真乘龙
芙蓉镜映花含笑 庆良缘山欢水笑 伉俪好和般般好
玳瑁筵开酒合欢 成佳偶女淑郎才 家庭新建样样新
喜看伴侣偕欢日 笙歌彻夜香车迓 日暖金兰来群燕
恰是风华正茂时 箫鼓元宵宝镜圆 春玉和柳发新枝
起舞花间娱倩影 堂前奏笛迎宾客 向阳红莲开并蒂
但闻天外遏行云 户外吹箫引凤凰 朝阳彩凤吉双飞
芙蓉出水花正好 鸾妆并倚人如玉 喜结鸳盟同咏月
孔雀开屏月初圆 燕婉同歌韵似琴 壮怀鹏志共凌云
海誓山盟期百岁 花好月圆羡比翼 莲子杯中金谷酒
情投意合乐千觞 天长地久卜齐眉 桃花盏上玉台诗
凤凰枝上花似锦 三星在户临花烛 共图家国平章事
松菊堂前人比肩 百车盈门灿锦幄 同咏河洲窈窕篇
碧纱待月春调瑟 画堂春暖宫花艳 碧海云生龙对舞
红袖添香夜读书 绣阁官清风管调 丹山日出凤双飞
天结良缘绵百世 金鸾集规模壮丽 自去自来梁上燕
夙成佳偶肇三多 银燕临栋宇嵯峨 相亲相近水中鸥
春润乾坤花吐艳 梅楼翡翠开相语 一岭桃花红锦绣
情传华宇燕归梁 镜水鸳鸯暖共游 万盏银灯引玉人
红梅吐艳迎淑女 爱情坚贞花正好 银河驾鹊欢今夕
美酒飘香酬嘉宾 志趣融洽月常圆 绣幄迎鸾叶吉期
月映芙蓉开并蒂 春临玉树千枝发 香花笑迎灯结彩
春明莺燕喜双飞 日映华堂紫燕栖 喜气入户月初圆
吉日花开梅并蒂 院内梅花迎岁绽 探花幸际辰初夏
良宵家庆月双圆 门前萱草贺春荣 梦燕欣逢麦至秋
并蒂莲开莲蒂并 鹏御春风游字内 菱花光映纱窗晓
双飞燕侣燕双飞 凤迎旭日舞门前 竹叶香浮绣户春
菱花绶带鸳鸯簇 春风堂上初来燕 花朝春色光花烛
金屋屏风孔雀间 细雨庭前新种花 柳絮奇姿画柳眉
盈耳笙歌交玉液 国有贤才扶世运 并肩齐建千秋业
满堂花烛引香车 光摇烛影看新人 携手同绘四化图
鸳鸯相戏水色美 互尊互敬乾坤大 梅花芳讯先试春
琴瑟偕弹福音多 相爱相亲日月长 柳絮吟杯小雪初
花烛交心齐勉志 堂栖彩燕双星耀 鸿雁贺喜衔霜叶
新婚携手共图强 岭放红梅万象新 秋风迎亲带桂香
笔墨今宵光更艳 百事开怀百事咏 银烛光浮元月夜
梨花带雨晚尤香 两心相重两心知 紫箫吹彻玉堂春
和谐共处姻缘好 并蒂花开喜二美 丽日神州开四化
恩爱相亲乐事多 同心果结颂百年 春风良夜渡双星
松梅高傲坚贞爱 移风举办新婚礼 爱情纯正纯情爱
霜雪难欺金玉缘 为国优生大厦才 婚礼简朴简礼婚
琴瑟谐和歌盛世 容貌心灵双媲美 青梅竹马男偕女
夫妻友爱颂丰年 才华事业两竞新 海誓山盟女嫁男
谊如汩汩长流水 华夏腾飞同振翼 志同道合真平等
情似苍苍不老松 征途奋起共扬鞭 地久天长永自由
爱海并游须勉励 门书喜字乾坤大 满座嘉宾漾喜气
征途同步共攀登 户进新人岁月甜 一声花炮报新人
巧借花容添月色 姻缘缔结三生幸 秦晋姻缘春意闹
欣为秋鹊架银桥 旖旎平分一半春 凤鸾伴侣彩虹飞
今夕交杯传蜜意 一世光阴今过半 勤劳致富须同勉
来朝跃马赛风流 百年伉俪喜成双 和睦持家贵相帮
同心同德家邦盛 岂只室家盟白首 蝶趁花芳欣作伴
相爱相亲岁月长 更为祖国献青春 人逢成世喜联姻
两情雨水春为伴 莺燕双栖芳草地 一朝喜结千年爱
百脉爱丝谊永联 风鸾对舞艳阳天 百岁不移半寸心
瑶琴一曲双声奏 五夜芝兰徐入梦 文窗绣户垂帘幕
月殿三秋五桂香 百年瓜瓞渐开祥 银烛金杯映翠眉
新笔曾题红叶句 诗歌四喜其三句 五色云临门似彩
华堂欣咏友琴章 乐奏周南第一章 七香车辗韵如琴
秋镜满轮仪凤侣 采莲君子新求偶 琼楼月耀人如玉
晓窗听鼓锦鸡鸣 雪洁佳人旧有才 绣阁花香酒似兰
紫箫吹玉翔丹凤 金鹏举翼凌云上 花径不曾缘客扫
翠袖临风舞彩鸾 彩凤含情展翅随 蓬门今始为君开
紫云秀绕芙蓉第 春窗巧绣鸳鸯谱 沧海月明珠献彩
玉树花飞玳瑁梁 夜月香斟琥珀杯 蓝田日暖玉生香
爱情纯真月圆花好 黄花艳吐东篱月 花月新妆宜学柳
目标远大地久天长 丹桂香飘北国诗 寒窗好友早栽兰
红梅吐芳喜成连理 满室鲜花清香四溢 萧彻玉楼声和风侣
绿柳含笑永结同心 几盘水果欢乐一堂 花盈金屋香满赡官
凤凰鸣矣梧桐生矣 燕屋才高诗吟白雪 好鸟双栖嘉鱼比目
钟鼓乐之琴瑟友之 兰馨芝秀志在九州 仙葩并蒂瑞木交枝
两门多喜两家多福 海枯石烂同心永结 金屋才高诗吟白雪
一对新人一代新风 地阔天高比翼齐飞 玉台春早妆艳红楼
白首齐后鸳鸯比翼 牡丹丛中蝴蝶双舞 爱雅年年年年雅爱
青阳启瑞桃李同心 荷花塘内鸳鸯对歌 情深岁岁岁岁深情
知识鼓满青春风帆 互敬互爱互相学习 同心同德美满夫妻
劳动展开爱情羽翼 同心同德同建家庭 克勤克俭幸福鸳鸯
鸿案相庄百年偕老 金玉其心芝兰其室 革命姻缘情深似海
凤占叶吉五世其昌 仁义为友道德为师 征途伴侣志洁如梅
俭朴联婚欢偕鱼水 喜溢华堂地天交泰 春暖花朝彩鸯对舞
勤劳致富喜溢门庭 香飘桂苑人月双圆 风和丽日红杏添妆
鸾凤和鸣春光满目 燕尔新婚四月维夏 美酒盈盅嘉宾满座
燕莺比翼壮志凌云 君子偕老百年长春 春风入户喜气临门
瑞彩盈庭嘉宾满座 美满婚姻情深意重 艳福增添喜成佳偶
祥光当户喜气临门 和睦家庭地久天长 新词赞美欢洽来宾
山水怡情福门望重 嫁女婚男处处从简 才子凌云佳人咏雪
凤凰娱目鸿案辉生 移风易俗事事当先 榴花映日蒲叶摇风
