遥山丽如绮 长流萦似带
童子病归去 鹿麑寒入来
手持金钺冷 身挂铁衣寒
主圣扶持易 恩深报效难
池边写字师前辈 座右题铭律后生
吟社客归秦渡晚 醉乡渔去渼陂晴
药将鸡犬云间试 琴许鱼龙月下听
自要乘风随羽客 谁同种玉验仙经
诗成斩将奇难敌 酒熟封侯快未如
只见丝纶终日降 不知功业是谁书
未出尘埃真落魄 不趋权势正因循
桂攀明月曾观国 蓬转西风却问津
红叶寺多诗景致 白衣人尽酒交游
依违讽刺因行得 淡泊供需不在求
沈忧万种与千种 行乐十分无一分
越外险巇防俗事 就中拘检信人文
一声直入青云去 多少悲欢起此时
公子邀欢月满楼 双成揭调唱伊州
从此凤林关外事 不知谁是苦心人
陇上征夫陇下魂 死生同恨汉将军
却恨韩彭兴汉室 功成不向五湖游
花满西园月满池 笙歌摇曳画船移
满宫多少承恩者 似有容华妾也无
满身珠翠将何用 唯与豪家拂象床
战鼓声未齐 乌鸢已相贺
燕然山上云 半是离乡魂
今朝南涧波 昨夜西川雨
牧童披短蓑 腰笛期烟渚
一从屠贵妃 生女愁倾国
是日芙蓉花 不如秋草色
窗下抛梭女 手织身无衣
我愿燕赵姝 化为嫫母姿
何事觉归晚 黄花秋意深
寒蝶恋衰草 轸我离乡心
素娥哭新冢 樵柯鸣柔桑
田父引黄犬 寻狐上高冈
虽沾巾覆形 不及贵门犬
驱牛耕白石 课女经黄茧
孤舟下彭蠡 楚月沈沧浪
为子惜功业 满身刀箭疮
勾践胆未尝 夫差心已误
吴亡甘已矣 越胜今何处
起来花满地 戴胜鸣桑间
居安即永业 何者为故山
濯缨易为水 何必泛沧浪
贵崇已难慕 谄笑何所长
更欲住人间 一日买不得
行为忠信主 身是文章宅
早知遽相别 何用假光辉
已闻都万骑 又道出重围
积土培枯根 自谓松柏坚
南陌试腰褭 西楼歌婵娟
南村与北里 日日见父母
岂似从军儿 一去便白首
栖鸦林际起 落月水中见
此身何自苦 日日凌霜霰
九天休沐归 腰玉垂杨道
避路回绮罗 迎风嘶騕褭
寒沙战鬼愁 白骨风霜切
薄日朦胧秋 怨气阴云结
国色久在室 良媒亦生疑
鸦鬟未成髻 鸾镜徒相知
深疑呜咽声 中有征人泪
自古蕴长策 况我非才智
身同树上花 一落又经岁
交亲日相薄 知己恩潜替
转岸孤舟疾 衔山落照明
萧条看草色 惆怅认江声
十年辛苦一枝桂 二月艳阳千树花
鹏化四溟归碧落 鹤栖三岛接青霞
水堤烟报柳 山寺雪惊梅
练色铺江晚 潮声逐渚回
未闻一剑传唐主 长拥千山护蜀城
斩马威棱应扫荡 截蛟锋刃俟升平
顾兔云初蔽 长蛇谁与勍
未追良友玩 安用玉轮盈
槛虚花气密 地暖竹声深
秀色还朝暮 浮云自古今
绿树低官舍 青山在县门
楼台疑结蜃 枕席更闻猿
乡愁梦里失 马色望中迷
涧底凄泉气 岩前遍绿荑
烟中独鸟下 潭上杂花熏
寄远悲春草 登临忆使君
火烧白玉非因玷 霜翦红兰不待秋
花落昭阳谁共辇 月明长信独登楼
马嘶斜日朔风急 雁过寒云边思长
残月出林明剑戟 平沙隔水见牛羊
影转银河寰海静 光分玉塞古今愁
笳吹远戍孤烽灭 雁下平沙万里秋
铁岭探人迷鸟道 阴山飞将湿貂裘
斜飘旌旆过戎帐 半杂风沙入戍楼
双轮晚上铜台雪 一叶春浮瘴海波
自古要津皆若此 方今失路欲如何
阴移古戍迷芳草 花带残阳落远波
台上少年吹白雪 楼中思妇敛青蛾
百年莫惜千回醉 一盏能消万古愁
几为芳菲眠细草 曾因雨雪上高楼
金埒乍调光照地 玉关初别远嘶风
花明锦襜垂杨下 露湿朱缨细草中
岂是月华别 只应秋气清
影当中土正 轮对八荒平
一曲起于古 几人听到今
尽含风霭远 自泛月烟深
满眼黄花初泛酒 隔烟红树欲迎霜
千家门户笙歌发 十里江山白鸟翔
蓬瀛乍接神仙侣 江海回思耕钓人
九万抟扶排羽翼 十年辛苦涉风尘
泸水东奔彭蠡浪 萍川西注洞庭波
村烟不改居人换 官路无穷行客多
也知暮雨生巫峡 争奈朝云属楚王
万恨只凭期克手 寸心唯系别离肠
浸润加新气 光辉胜本青
还同冰出水 不共草为萤
绕篱看见成瑶圃 泛酒须迷傍玉杯
映水好将蘋作伴 犯寒疑与雪为媒
云梯万仞初高步 月桂余香尚满襟
鸣棹晓冲苍霭发 落帆寒动白华吟
阴风向晚急 杀气入秋多
树尽禽栖草 冰坚路在河
忽惊乡树出 渐识路人多
细径穿禾黍 颓垣压薜萝
数家分小径 一水截平芜
竹节偶相对 鸟名多自呼
若待皆无事 应难更有花
管弦临夜急 榆柳向江斜
战鬼秋频哭 征鸿夜不栖
沙平关路直 碛广郡楼低
话尽山中事 归当月上时
高松连寺影 亚竹入窗枝
遭逢好文日 黜落至公时
倚玉甘无路 穿杨却未期
远处星垂岸 中流月满船
凉归夜深簟 秋入雨余天
长安多在客 久病忽闻蝉
骤雨才沾地 阴云不遍天
病叶先秋落 惊禽背月飞
瘴云晴未散 戍客老将依
曙分林影外 春尽雨声中
鸟思江村路 花残野岸风
良久惊兼喜 殷勤卷更开
瘴云沉去雁 江雨促新梅
一生知几度 后到拟先归
急管侵诸乐 严城送落晖
已降禅侣久 兼作帝师难
夜木侵檐黑 秋灯照雨寒
坐来新月上 听久觉秋生
夜静骚人语 天高别鹤鸣
一家书绝久 孤驿梦成迟
八月三湘道 闻猿冒雨时
人间无暇日 马上又秋风
破月衔高岳 流星拂晓空
今日花还发 当时事不同
流言应未息 直道竟难通
病觉离家远 贫知处事难
真交无所隐 深语有余欢
马行初有迹 雨落竟无声
地理全归汉 天威不在兵
须为圣代无双物 肯逐将军卧九泉
汗马不侵诛虏血 神功今见补亡篇
人间不遣有名利 陌上始应无别离
晚渡待船愁立久 乱山投店独行迟
有时弦管收筵促 无数凫鹥逆浪来
路入龙祠群木老 风惊渔艇一声回
芙蓉叶上三更雨 蟋蟀声中一点灯
迹避险巇翻失路 心归闲淡不因僧
半夜病吟人寝后 百年闲事酒醒初
频招兄弟同佳节 已有兵戈隔远书
儿童能探火 妇女解缝旗
川少衔鱼鹭 林多带箭麋
后人不识前贤意 破国亡家事甚多
万事销沈向一杯 竹门哑轧为风开
四顾疑无地 中流忽有山
鸟高恒畏坠 帆远却如闲
半空分太华 极目是长安
雪助河流涨 人耕烧色残
听莺离灞岸 荡桨入陵阳
野蕨生公署 闲云拂印床
半生为下客 终老托何人
两鬓关中改 千岩海上春
日尽行难尽 千重复万重
云垂多作雨 雷动半和钟
云增中岳大 树隐上阳遥
堑黑初沉月 河明欲认潮
几层高鸟外 万仞一楼中
水落难归地 云篱便逐风
旧国乱离后 新年惆怅归
雪开还楚地 花惹别秦衣
河光深荡塞 碛色迥连天
残日沉雕外 惊蓬到马前
南北渡人少 高低归鸟重
潮回沙出树 雨过浦沉钟
故园魂梦外 长路别离中
人事萍随水 年光鸟过空
几程回送骑 中路见迎船
冶例开山铸 民多酌海煎
远道行非易 无图住自难
离城风已暖 近岳雨翻寒
天遥三楚树 路远两河人
旅梦难归隐 吟魂不在身
岁月逐流水 山川空夕阳
回潮迷古渡 迸竹过邻墙
郡响蛮江涨 山昏蜀雨过
公筵饶越味 俗土尚巴歌
沧江归恨远 紫阁别愁迟
稽古成何事 龙钟负已知
井出深山水 阑藏异国花
风巢和鸟动 雪竹向人斜
旧国归无计 他乡梦亦愁
飞尘长满眼 衰发暗添头
碧溪飞白鸟 红旆映青林
土产唯宜药 王租只贡金
晓庭猿集惯 寒署吏衙稀
冰色封深涧 樵声出紫微
走马冲边雪 鸣鞞动塞山
风收枯草定 月满广沙闲
遗文齐日月 旧井照烟霞
水隔平芜远 山横度鸟斜
紫塞唯多雪 胡山不尽春
河遥分断野 树乱起飞尘
星河愁立夜 雷电独行朝
碛迥人防寇 天空雁避雕
何山犹见雪 半路已无鸿
瘴杂春云重 星垂夜海空
无门闲共老 尽日泣相看
鸟畏闻鶗鴂 花惭背牡丹
心同孤鹤静 行过老僧真
乱水藏幽径 高原隔远津
每值离丹陛 多陪宴白云
门连萧洞僻 地与曲江分
南浮应到海 北去阻无州
楚雨天连地 胡风夏甚秋
海涛通越分 部伍杂闽音
晓郭云藏市 春山鸟护林
丹桂阻丹恳 白衣成白头
穷吴迷钓业 大汉事贫游
山多曾战处 路断野行人
暴雨声同瀑 奔沙势异尘
清晨窥古镜 旅貌近衰翁
处世闲难得 关身事半空
碛路虽多险 江人不废吟
雕依孤堠立 鸥向迥沙沈
俱无中道计 各失半生期
素业沧江远 清时白发垂
堡迥烽相见 河移浪旋生
无蝉嘶折柳 有寇似防兵
一川留古迹 多代仰高风
树折巢堕鸟 阶荒草覆虫
客程临岸尽 乡思入鸥闲
雨涨巴来浪 云增楚际山
树飞鹦鹉众 川下鶺鴒疏
滴梦关山雨 资餐陇水鱼
又缘千嶂尽 还共七盘同
下辨东流水 平随北去鸿
无青山拥晋 半浊水通汾
雁塞虽多雁 云州却少云
江截吴山断 天临楚泽遥
云帆高出树 水市迥分桥
好花皆折尽 明日恐无春
鸟避连云幄 鱼惊远浪尘
已住城中寺 难归海上山
诗传华夏外 偈布市朝间
路无人到迹 林有鹤遗毛
物外趣都别 尘中心枉劳
石形相对耸 天势一条长
栈底鸣流水 林端敛夕阳
蟋蟀既将定 弥猴应正吟
剑门秋断雁 褒谷夜多砧
大荒收虏帐 遗土复秦风
乱烧迷归路 遥山似梦中
岭上非无主 秋诗复有人
高禅星月近 野火虎狼驯
落木满江水 离人怀渭城
山高孤戍断 野极暮天平
蛩声秋不动 燕别思仍闲
乱叶随寒雨 孤蟾起暮关
上国回将晚 孤峰别自难
碛遥鸿未到 江近夜先寒
云晴仍著地 树古自参天
乱鸟飞人上 惊麋起马前
白发除还出 丹霄去转赊
夏游穷塞路 春醉负秦花
上穷如出世 下瞷忽惊神
刹碍长空鸟 船通外国人
经宿留闲客 看云作主人
时清难议隐 位重亦甘贫
云藏李白墓 苔暗谢公诗
烈烧飞荒野 栖凫宿广陂
地近风沙处 城当甸服间
阻河通渭水 曲苑带秦关
路过金谷口 帆转石城西
水树连天暗 山禽绕郡啼
去路多相似 行人半不同
山川藏北狄 草木背东风
寄邑虽行化 眠云似去官
河分中野断 岳入半天寒
欲归难遂去 闲忆自成吟
雷电闲倾雨 猿猱斗堕林
下国闲归去 他人少此情
云移寒峤出 烧夹夜江明
半天初去雁 穷碛远来人
月黯氛埃积 风膻帐幕邻
直庐辞玉陛 上马向仙山
地古桑麻广 城偏仆御闲
水随空谷转 山向夕阳偏
碛鸟多依地 胡云不满天
苇宽云不匝 风广雨无闲
戍影临孤浦 潮痕在半山
近空无世界 当楚见波涛
顶峭松多瘦 崖悬石尽牢
琴剑今无主 园林旧许谁
苔封僧坐石 苇涨鹤翘池
乡遥辞剑外 身独向天涯
岭堠蛮云积 闽空瘴雨垂
城池当陇右 山水是关中
日有来巴使 秋高出塞鸿
更为他夜约 方尽昔年心
月隔明河远 花藏宿鸟深
近来惊白发 方解惜青春
僻寺居将遍 权门到绝因
夕阳唯照草 危堞不胜风
岸断河声别 田荒野色同
穷经休望辟 饵术止期仙
彭蠡波涵月 炉峰雪照天
分合吟诗老 家宜逐浪空
别心悬阙下 归念极吴东
平芜疑自动 落月似相随
楚外离空早 关西去已迟
石上吟分海 楼中语近天
重游空有梦 再隐定无缘
隔闰俱劳梦 通宵各话心
禁风吹漏出 原树映星沉
印心谁受请 讲疏自携归
泛浦龙惊锡 禅云虎绕扉
行高无外染 骨瘦是真容
饭野盂埋雪 禅云杖倚松
马行高碛上 日堕迥沙中
逼晓人移帐 当川树列风
日临秋草广 山接远天微
岸叶随波尽 沙云与鸟飞
赋命自多蹇 阳和非不均
五陵三月暮 百越一家贫
晓林花落雨 寒谷鸟啼风
故里芳洲外 残春甸服中
愁迎离碛雁 梦逐出关书
经雨蝉声尽 兼风杵韵余
在处有岐路 何人无别离
长当多难日 愁过少年时
香飘风外别 影到月中疑
发在林凋后 繁当露冷时
万方期一夕 到晓是经年
影蔽星芒尽 光分物状全
洒槛江干雨 当筵天际山
带帆分浪色 驻乐话朝班
半寺阴常匝 邻坊景亦清
代多无朽势 风定有余声
地出浮云上 星摇积浪中
滴沤垂阁雨 吹桧送帆风
对欹雪顶思寻水 更振霜翎恐染尘
三楚几时初失侣 五陵何树又栖身
远梦亦羞归海徼 贫游多是滞边陲
胡云不聚风无定 陇路难行栈更危
云势崩腾时向背 水声呜咽若东西
风兼雨气吹人面 石带冰棱碍马蹄
退鹢已经三十载 登龙曾见一千人
魂离为役诗篇苦 泪竭缘嗟骨相贫
江山不到处皆到 陇雁已归时未归
行李亦须携战器 趋迎当便著戎衣
精灵应自在 云雨不相关
落石泉多咽 无风树尽闲
星辰方满岳 风雨忽移舟
喷月泉垂壁 栖松鹤在楼
豸角初离首 金章已在腰
剑横阴绿野 栈响近丹霄
月云开作片 枝鸟立成行
径接河源润 庭容塔影凉
别带秦城雨 行闻魏国蝉
碛鸿来每后 朝日见常先
马依膻草聚 人抱浊河澄
迹固长城垒 冤深太子陵
丹陛怀趋计 沧洲负去期
久贫成蹭蹬 多病惜支离
隔溪遥避虎 当坞忽闻钟
落叶多相似 幽禽半不同
安禅思剡石 留偈别都人
雨合吴江黑 潮移海路新
才偏精二雅 分合遇诸侯
暗海龟蒙雨 连空赵魏秋
向化虽多国 如公有几人
孤山无返照 积水合苍旻
各来依帝里 相对似山阴
漏永星河没 堂寒月彩深
轮移仙掌外 影下玉绳西
蝉雀飞多误 星萤出自迷
故人皆羡去 吾祖旧曾居
地古多生药 溪灵不聚鱼
散光垂草细 繁响出风高
沫滞潭花片 沙遗浴鸟毛
太守劳车马 何从驻旆旌
椒香近满郭 漆货远通京
地广人耕绝 天寒雁下多
东西方自感 雨雪更相和
江边相值夜 榆塞雁初来
坐久河沉斗 吟长月浸杯
江晴帆影满 野迥鹤声遥
岛径通山市 汀扉上海潮
乃是前贤意 常留化俗心
代公存绿绮 谁更寄清音
垂老登云路 犹胜守钓矶
大荒身去数 穷海信来稀
兰菊俱含露 杉梧为奏风
破门韦曲对 浅岸御沟通
四海经摇落 三吴正寂寥
风移残烧远 帆带夕阳遥
水国车通少 秦人楚荐稀
鸿方离北鄙 叶下已西畿
久贫惭负债 渐老爱山深
日月销天外 帆樯弃海阴
无因随鹿去 只是送人归
顶木晴摩日 根岚晓润衣
青草浪高三月渡 绿杨花扑一溪烟
情多莫举伤春目 愁极兼无买酒钱
朝争刃上功 暮作泉下鬼
悲风吊枯骨 明月照荒垒
火未到身者 痛楚难共谙
但言贫者拙 不言富者贪
日月自流水 不知身老时
昨日照红颜 今朝照白丝
为郎久不见 出守暂相逢
鸟泊牵滩索 花空押号钟
日月所到处 姓名无不知
莺啼谢守垒 苔老谪仙碑
雪深鸢啸急 薪湿鼎吟迟
默坐同谁话 非僧不我知
床满诸司印 庭高五粒松
井寻芸吏汲 茶拆岳僧封
花尽方辞醉 莺残是放时
天寒千尺岳 颔白半联诗
风波冻马遥逢见 革橐饥僮尚挈行
住在闲坊无辙迹 别来何寺有泉声
作宰应无俸 归船必有僧
滩平眠獭石 烧断饮猿藤
花开封印早 雪下典衣频
怪木风吹阁 废巢时落薪
渐觉溪山秀 更高鱼鸟情
夜吟禅子室 晓爨猎人铛
囊书旋入酒家尽 纱帽长依僧壁垂
待月句新遭鬼哭 寻山貌古被猿窥
地即同正朔 天教阻往来
波翻夜作电 鲸吼昼为雷
英雄归厚土 日月照闲人
衰草珠玑冢 冷灰龙凤身
白日莫空过 青春不再来
报仇冲雪去 乘醉臂鹰回
戎羯围中过 风沙马上眠
草衰频过烧 耳冷不闻蝉
琢诗方到骨 至死不离贫
风帐孤萤入 霜阶积叶频
海岳影犹动 鹍鹏势未安
星沉关锁冷 鸡唱驿灯残
风吹宿霭散 月照华山明
白首东西客 黄河昼夜清
顶上多灵迹 尘中少客知
悬崖倚冻瀑 飞狖过孤枝
是物皆磨灭 唯师出死生
虚堂散钓叟 怪木哭山精
驱马每寻霜影里 到门常在鼓声初
蟾枝交彩清兰署 鸾佩排光映玉除
长因抗疏日 便作去官心
清俸供僧尽 沧洲寄迹深
江山犹未静 鱼鸟欲何归
城露桑榆尽 时平老幼稀
樵童乱打金吾鼓 豪马争奔丞相堤
翡翠鬟欹钗上燕 麒麟衫束海中犀
浮生渐老年随水 往事曾闻泪满巾
已觉远天秋色动 不堪闲夜雨声频
华山秀作英雄骨 黄河泻出纵横才
梦破青霄春 烟霞无去尘
青羌迷道路 白社寄杯盂
大雅何人继 全生此地孤
皇天若不平 微物教食肉
贫士无绛纱 忍苦卧茅屋
至今顽愚者 生如土偶身
云物养吾道 天爵高我贫
高斋晓开卷 独共圣人语
英贤虽异世 自古心相许
贫家烟爨稀 灶底阴虫语
门小愧车马 廪空惭雀鼠
闲来发其机 旋旋沈平绿
下处若烟雨 牵时似崖谷
既为菱浪飐 亦为莲泥胶
人立独无声 鱼烦似相抄
从浮笠泽烟 任卧桐江月
丝随碧波漫 饵逐清滩发
月中抛一声 惊起滩上鸟
心将潭底测 手把波文袅
游鳞到溪口 入此无逃所
斜临杨柳津 静下鸬鹚侣
照见游泳鱼 一一如清昼
中目碎琼碧 毁鳞殷组绣
下窥见鱼乐 怳若翔在空
惊羽决凝碧 伤鳞浮殷红
丁丁入波心 澄澈和清响
鹭听独寂寞 鱼惊昧来往
游鱼趁暖处 忽尔来相聚
徒为栖托心 不问庇庥主
池中得春雨 点点活如蚁
一月便翠鳞 终年必赪尾
见说放溪上 点点波光恶
食时竞夷犹 死者争纷泊
低篷挂钓车 枯蚌盛鱼饵
只好携桡坐 唯堪盖蓑睡
归来倒却鱼 挂在幽窗扉
但闻虾蚬气 欲生蘋藻衣
枕上悉渔经 门前空钓具
束竿时倚壁 晒网还侵户
隔溪遥望见 疑是绿毛翁
襟色裛艓霭 袖香褵褷风
涔涔向上雨 不乱窥鱼思
携来沙日微 挂处江风起
雨中跼蹐时 一向听霎霎
甘从鱼不见 亦任鸥相狎
橡实养山禽 藤花蒙涧鹿
不止产蒸薪 愿当歌棫朴
云萝共夙世 猿鸟同生涯
衣服濯春泉 盘餐烹野花
至老未息肩 至今无病骨
家风是林岭 世禄为薇蕨
将花饵鹿麛 以果投猿父
束薪白云湿 负担春日暮
歇处遇松根 危中值石齿
花穿枲衣落 云拂芒鞋起
空林伐一声 幽鸟相呼起
倒树去李父 倾巢啼木魅
轧轧下山时 弯弯向身曲
清泉洗得洁 翠霭侵来绿
纵横清飙吹 旦暮归期同
蘋光惹衣白 莲影涵薪红
松膏作滫瀡 杉子为珠玑
响误击刺闹 焰疑彗孛飞
多云采樵乐 或说林泉候
一唱凝闲云 再谣悲顾兽
彩微尝似酣 芒弱偏如醉
唯忧犯帝座 只恐骑天驷
玉液是浇漓 金沙乃糟粕
春从野鸟沽 昼仍闲猿酌
新从山下买 静向甔中试
轻可网金醅 疏能容玉蚁
滴滴连有声 空疑杜康语
开眉既压后 染指偷尝处
火作缥醪香 灰为冬醷气
有枪尽龙头 有主皆犊鼻
金罍潋滟后 玉斝纷纶起
舞蝶傍应酣 啼莺闻亦醉
多为风所飏 时见酒名号
拂拂野桥幽 翻翻江市好
少恐消醍醐 满拟烘琥珀
猿窥曾扑泻 鸟蹋经欹仄
香侵井干过 味染濠波渌
朝倾逾百榼 暮压几千斛
有事忘哀乐 有时忘显晦
如寻罔象归 似与希夷会
竹叶岛纡徐 凫花波荡漾
醺应烂地轴 浸可柔天壤
吐处百里雷 泻时千丈壑
初疑潜苑囿 忽似拏寥廓
临溪刷旧痕 隔屋闻新香
移来近麹室 倒处临糟床
但知涵泳好 不计风涛恶
尝行麹封内 稍系糟丘泊
唯将煮浊醪 用以资酣饮
偏宜旋樵火 稍近余酲枕
手挥五弦罢 聊复一樽持
但取性淡泊 不知味醇醨
种荈已成园 栽葭宁记亩
石洼泉似掬 岩罅云如缕
寒恐结红铅 暖疑销紫汞
圆如玉轴光 脆似琼英冻
开时送紫茗 负处沾清露
歇把傍云泉 归将挂烟树
棚上汲红泉 焙前蒸紫蕨
乃翁研茗后 中妇拍茶歇
水煮石发气 薪然杉脂香
青琼蒸后凝 绿髓炊来光
泥易带云根 烧难碍石脉
初能燥金饼 渐见干琼液
立作菌蠢势 煎为潺湲声
草堂暮云阴 松窗残雪明
圆似月魂堕 轻如云魄起
枣花势旋眼 蘋沫香沾齿
时看蟹目溅 乍见鱼鳞起
声疑松带雨 饽恐生烟翠
流霞包染紫鹦粟 黄蜡纸裹红瓠房
玉刻冰壶含露湿 斓斑似带湘娥泣
苔染浑成绮 云漫便当纱
棂中空吐月 扉际不扃霞
片时迷鹿迹 寸步隔人声
以杖探虚翠 将襟惹薄明
墟里生红药 人家发白泉
儿童皆似古 婚嫁尽如仙
犬能谙药气 人解写芝形
野歇遇松盖 醉书逢石屏
待侣傍花久 引麛穿竹迟
经时掊玉涧 尽日嗅金芝
石洞哄人笑 松声惊鹿眠
井香为大药 鹤语是灵篇
敲碎一轮月 熔销半段天
响高吹谷动 势急喷云旋
味似云腴美 形如玉脑圆
衔来多野鹤 落处半灵泉
阔容兼饵坐 深许共蓑眠
短好随朱鹭 轻堪倚白莲
探洞求丹粟 挑云觅白芝
量泉将濯足 阑鹤把支颐
中莹五寸剑 外差千叠莲
月融还似洗 云湿便堪研
把疑伤虺节 用恐破蛇瘤
置合月观内 买须云肆头
买须能紫贝 用合对红螺
尽泻判狂药 禁敲任浩歌
惜春狂似蝶 养病躁于猱
案静方书古 堂空药气高
眼暗怜晨惨 心寒怯夜清
妻仍嫌酒癖 医只禁诗情
尚关经病鹤 犹滤欲枯泉
静案贝多纸 闲炉波律烟
白莲吟次缺 青霭坐来销
泉冷无三伏 松枯有六朝
挑灯犹故岁 听角已新年
出谷空嗟晚 衔杯尚愧先
不逢野老来听法 犹见邻僧为引泉
龛上已生新石耳 壁间空带旧茶烟
不署前驱惊野鸟 唯将后乘载诗人
岩边候吏云遮却 竹下朝衣露滴新
中妇桑村挑叶去 小儿沙市买蓑归
雨来莼菜流船滑 春后鲈鱼坠钓肥
等闲遇事成歌咏 取次冲筵隐姓名
映柳认人多错误 透花窥鸟最分明
车螯近岸无妨取 舴艋随风不费牵
处处路傍千顷稻 家家门外一渠莲
壮士不言三尺剑 谋臣休道一丸泥
昔时驰道洪波上 今日宸居紫气西
旧丝再上琴调晚 坏叶重烧酒暖迟
三径引时寒步月 四邻偷得夜吟诗
数声翡翠背人去 一番芙蓉含日开
茭叶深深埋钓艇 鱼儿漾漾逐流杯
风撦红蕉仍换叶 雨淋黄菊不成香
野猿偷栗重窥户 落雁疑人更绕塘
瑞气染衣金液启 香烟映面紫文开
孤云尽日方离洞 双鹤移时只有苔
画虎已成翻类狗 登龙才变即为鱼
空惭季布千金诺 但负刘弘一纸书
园林一半为他主 山水虚言是故乡
戟户野蒿生翠瓦 舞楼栖鸽污雕梁
只为白衣声过重 且非青汉路难通
贵侯待写过门下 词客偷名入卷中
废路塌平残瓦砾 破坟耕出烂图书
绿莎满县年荒后 白鸟盈溪雨霁初
书阁鼠穿厨簏破 竹园霜后桔槔闲
儿童不许惊幽鸟 药草须教上假山
园里水流浇竹响 窗中人静下棋声
几多狎鸟皆谙性 无限幽花未得名
且愿仲山居左掖 只忧徐邈入南宫
朝衣正在天香里 谏草应焚禁漏中
恩荣虽得陪高会 科禁惟忧犯列仙
当醉不知开火日 正贫那似看花年
千株橘树唯沽酒 十顷莲塘不买鱼
藜杖闲来侵径竹 角巾端坐满楼书
数叶贝书松火暗 一声金磬桧烟深
陶潜见社无妨醉 殷浩谭经不废吟
溪光冷射触鸀鳿 柳带冻脆攒栏杆
竹根乍烧玉节快 酒面新泼金膏寒
爱酒有情如手足 除诗无计似膏肓
宴时不辍琅书味 斋日难判玉鲙香
好临王母瑶池发 合傍萧家粉水开
共月已为迷眼伴 与春先作断肠媒
螓首不言披晓雪 麝脐无主任春风
一枝拂地成瑶圃 数树参庭是蕊宫
野客共为赊酒计 家人同作借书忙
园蔬预遣分僧料 廪粟先教算鹤粮
荒径扫稀堆柏子 破扉开涩染苔花
壁闲定欲图双桧 厨静空如饭一麻
铜池数滴桂上雨 金铎一声松杪风
鹤静时来珠像侧 鸽驯多在宝幡中
濯足将加汉光腹 抵掌欲捋梁武须
隐几清吟谁敢敌 枕琴高卧真堪图
南国不须收薏苡 百年终竟是芭蕉
药前美禄应难断 枕上芳辰岂易销
劚烟栽药为身计 负水浇花是世功
婚嫁定期杉叶紫 盖藏应待桂枝红
风匀只似调红露 日暖唯忧化赤霜
火齐满枝烧夜月 金津含蕊滴朝阳
不为韩嫣金丸重 直是周王玉果圆
剖似日魂初破后 弄如星髓未销前
虫丝度日萦琴荐 蛀粉经时落酒筒
马足歇从残漏外 鱼须抛在乱书中
强听紫箫如欲舞 困眠红树似依屏
因思桂蠹伤肌骨 为忆松鹅损性灵
飙御有声时杳杳 宝衣无影自珊珊
蕊书乞见斋心易 玉籍求添拜首难
以前虽被愁将去 向后须教醉领来
梅片尽飘轻粉靥 柳芽初吐烂金醅
细挑泉眼寻新脉 轻把花枝嗅宿香
蝶欲试飞犹护粉 莺初学啭尚羞簧
山容洗得如烟瘦 地脉流来似乳肥
野客正闲移竹远 幽人多病探花稀
乌纱任岸穿筋竹 白袷从披趁肉芝
数卷蠹书棋处展 几升菰米钓前炊
深挑乍见牛唇液 细掐徐闻鼠耳香
紫甲采从泉脉畔 翠牙搜自石根傍
昨夜眠时稀似鹤 今朝餐数减于僧
药销美禄应夭折 医过芳辰定鬼憎
涿鹿未销初败血 新安顿雪已坑魂
空林叶尽蝗来郡 腐骨花生战后村
欲写恐成河伯诏 试裁疑是水仙衣
毫端白獭脂犹湿 指下冰蚕子欲飞
孔雀钿寒窥沼见 石榴红重堕阶闻
牢愁有度应如月 春梦无心只似云
冲深柳驻吴娃幰 倚短花排羯鼓床
金凤欲为莺引去 钿蝉疑被蝶勾将
掩敛乍疑裁黑雾 轻明浑似戴玄霜
今朝定见看花昃 明日应闻漉酒香
几枚竹笥送德曜 一乘柴车迎少君
举案品多缘涧药 承家事少为谿云
腹内旧钩苔染涩 腮中新饵藻和香
冷鳞中断榆钱破 寒骨平分玉箸光
弩台雨坏逢金镞 香径泥销露玉钗
砚沼只留溪鸟浴 屟廊空信野花埋
石墨一研为凤尾 寒泉半勺是龙睛
骚人白芷伤心暗 狎客红筵夺眼明
吟多几转莲花漏 坐久重焚柏子香
鱼惯斋时分净食 鸽能闲处傍禅床
百篇宫体喧金屋 一日官衔下玉除
紫府近通斋后梦 赤城新有寄来书
红芳掩敛将迷蝶 翠蔓飘飖欲挂人
低拂地时如堕马 高临墙处似窥邻
拘律树边斋散后 提罗花下洗来时
乳麋味断中天觉 麦麨香消大劫知
一声拨谷桑柘晚 数点舂锄烟雨微
贫养山禽能个瘦 病关芳草就中肥
碧莎裳下携诗草 黄篾楼中挂酒篘
莲叶蘸波初转棹 鱼儿簇饵未谙钩
竹叶饮为甘露色 莲花鲊作肉芝香
松膏背日凝云磴 丹粉经年染石床
秦吴只恐篘来近 刘项真能酿得平
酒德有神多客颂 醉乡无货没人争
避酒几浮轻舴艋 下棋曾觉睡鸳鸯
投钩列坐围华烛 格簺分朋占靓妆
林间度宿抛棋局 壁上经旬挂钓车
野客病时分竹米 邻翁斋日乞藤花
桂静似逢青眼客 松闲如见绿毛翁
潮期暗动庭泉碧 梅信微侵地障红
拂润恐飞清夏雨 叩虚疑贮碧湘风
大胜书客裁成柬 颇赛谿翁截作筒
行遇竹王因设奠 居逢木客又迁家
清斋净溲桄榔面 远信闲封豆蔻花
水似棋文交度郭 柳如行障俨遮桥
青梅蒂重初迎雨 白鸟群高欲避潮
